"user_id","test_option","sale_dt","category","orderid","sale_price","gender","age"
19411,0,20200221,9,"7000063402543",19900,"M",41
19166,0,20200215,8,"24000062212986",-15900,"F",62
19166,0,20200219,6,"24000062877954",5040,"F",62
19166,0,20200210,8,"24000062212986",15900,"F",62
19166,0,20200224,9,"24000063390111",3400,"F",62
19166,0,20200224,7,"24000063390111",3490,"F",62
19166,0,20200224,7,"24000063390111",1940,"F",62
19166,0,20200224,3,"24000063390111",2850,"F",62
19166,0,20200224,7,"24000063390111",4660,"F",62
19166,0,20200224,8,"24000063390111",3340,"F",62
19166,0,20200222,9,"24000063156111",10000,"F",62
19166,0,20200222,6,"24000063155939",8750,"F",62
19166,0,20200224,0,"24000063390111",4210,"F",62
19166,0,20200224,3,"24000063390111",3200,"F",62
19166,0,20200224,9,"24000063156111",-10000,"F",62
19166,0,20200224,9,"24000063390111",3400,"F",62
19166,0,20200224,7,"24000063390111",3490,"F",62
19166,0,20200224,3,"24000063390111",3770,"F",62
19166,0,20200224,3,"24000063390111",2550,"F",62
19166,0,20200224,3,"24000063390111",2550,"F",62
19166,0,20200224,9,"24000063390111",3400,"F",62
19166,0,20200224,4,"24000063390111",2370,"F",62
19145,1,20200213,3,"22000063648567",7920,"M",44
19145,1,20200213,5,"22000063649894",4090,"M",44
19145,1,20200213,7,"22000063649894",12820,"M",44
19145,1,20200213,7,"22000063649894",16620,"M",44
19145,1,20200213,1,"22000063648567",13840,"M",44
19145,1,20200226,1,"22000064807248",6500,"M",44
19145,1,20200211,7,"22000063501484",21670,"M",44
19145,1,20200213,7,"22000063648567",-16620,"M",44
19145,1,20200213,7,"22000063649894",11690,"M",44
19145,1,20200213,7,"22000063648567",-13340,"M",44
19145,1,20200213,7,"22000063648567",13340,"M",44
19145,1,20200213,7,"22000063648567",16620,"M",44
19145,1,20200213,7,"22000063649894",13340,"M",44
19145,1,20200213,7,"22000063649894",13020,"M",44
19145,1,20200213,7,"22000063648567",-13020,"M",44
19145,1,20200213,7,"22000063648567",13020,"M",44
19145,1,20200213,7,"22000063648567",12820,"M",44
19145,1,20200213,7,"22000063648567",-12820,"M",44
19145,1,20200213,5,"22000063648567",4090,"M",44
19145,1,20200213,5,"22000063648567",-4090,"M",44
19145,1,20200225,9,"22000064680668",12600,"M",44
19145,1,20200218,3,"22000064019487",9030,"M",44
19145,1,20200226,7,"22000064807248",11210,"M",44
19007,0,20200226,6,"4000064925918",29000,"F",42
18726,0,20200216,3,"19000062759725",2100,"F",46
18726,0,20200216,7,"19000062763356",5490,"F",46
18726,0,20200216,3,"19000062790358",2500,"F",46
18726,0,20200216,7,"19000062616244",-6900,"F",46
18726,0,20200210,9,"19000062298323",4470,"F",46
18726,0,20200221,2,"19000063171709",-10000,"F",46
18726,0,20200221,2,"19000063171709",10000,"F",46
18726,0,20200223,2,"19000063362809",17030,"F",46
18726,0,20200219,9,"19000063069268",11380,"F",46
18726,0,20200219,9,"19000063068074",21900,"F",46
18726,0,20200219,9,"19000063069268",11380,"F",46
18726,0,20200219,9,"19000063068074",21900,"F",46
18726,0,20200219,9,"19000063069268",11380,"F",46
18726,0,20200215,4,"19000062692785",3960,"F",46
18726,0,20200214,2,"19000062621513",10200,"F",46
18726,0,20200217,2,"19000062883700",6440,"F",46
18726,0,20200217,2,"19000062883177",16820,"F",46
18726,0,20200217,2,"19000062883177",-16820,"F",46
18726,0,20200217,3,"19000062829462",2500,"F",46
18726,0,20200223,2,"19000063362613",14420,"F",46
18726,0,20200222,9,"19000063266345",-4800,"F",46
18726,0,20200222,9,"19000063266345",4800,"F",46
18726,0,20200212,3,"19000062466145",2600,"F",46
18726,0,20200212,3,"19000062466145",2150,"F",46
18726,0,20200212,5,"19000062466145",3480,"F",46
18726,0,20200222,6,"19000063343315",15220,"F",46
18726,0,20200222,6,"19000063343315",-15220,"F",46
18726,0,20200222,6,"19000063345238",15220,"F",46
18726,0,20200222,7,"19000063266345",-4040,"F",46
18726,0,20200222,7,"19000063266345",4040,"F",46
18726,0,20200222,9,"19000063266345",4800,"F",46
18726,0,20200222,9,"19000063266345",-4800,"F",46
18726,0,20200222,9,"19000063266345",-4800,"F",46
18726,0,20200222,9,"19000063266345",4800,"F",46
18726,0,20200222,6,"19000063272568",11400,"F",46
18726,0,20200221,2,"19000063172276",10000,"F",46
18726,0,20200221,5,"19000063172701",8000,"F",46
18726,0,20200212,7,"19000062467726",6300,"F",46
